221,223,390,286,2080,1817,4823,296,410,1091
236,228,284,231,2707,864,3831,304,283,285
236,227,284,231,2707,1045,304,224,213,222
221,223,226,390,232,286,230,389,296,520
389,520,727,5035,286,223,285,1188,390,202
2707,284,228,236,227,285,225,222,304,213
221,226,1003,997,996,1004,127,251,223,2867
239,238,1608,743,1065,613,1015,561,563,1034
283,240,343,55,3140,304,236,4,56,549
519,404,487,5823,481,237,2044,1561,1451,1918
227,228,284,231,2707,3831,864,224,285,304
5823,2044,404,487,519,235,583,2127,1550,1451
239,233,1608,500,81,82,254,2115,743,2088
238,233,1608,254,82,500,81,1365,3323,563
283,234,343,4,3140,304,236,55,2584,285
242,819,5121,2063,1359,3491,3265,3575,1705,2809
241,2929,2301,528,1359,3215,590,3585,2059,2462
290,90,91,1762,166,4114,162,4258,289,5876
245,247,246,176,373,938,744,372,4173,2295
244,247,246,744,2295,5567,223,961,390,373
247,244,245,5262,2567,4341,5934,4270,4394,2463
246,245,244,409,4142,4655,299,226,1003,3297
1097,775,3859,4216,615,209,329,69,4640,4117
297,298,93,157,216,2207,808,155,285,18
6006,6002,5398,2860,1720,529,5016,4977,3314,3684
1003,996,1004,232,141,997,143,127,738,409
120,74,402,79,737,116,1256,224,126,3456
167,580,513,48,156,68,726,1977,155,2372
82,81,149,1216,153,1217,589,239,133,1136
740,3643,2250,3539,215,5497,3582,315,2662,6075
257,687,288,473,343,216,264,345,650,915
256,687,288,915,473,216,343,345,4,11
261,338,517,4241,4029,583,2110,2242,1561,193
345,226,767,727,221,1698,75,3179,4020,3469
516,344,339,1184,4332,64,5491,128,196,184
258,4241,4029,2110,583,338,1561,2242,481,3962
515,346,263,294,437,611,1620,314,1399,5484
346,262,515,498,1068,2411,294,1847,440,5487
512,256,257,687,2976,288,1854,157,142,473
342,341,511,2345,5876,289,91,303,1666,1309
2646,5603,4577,4388,982,5333,1194,267,2164,878
5333,2102,2164,3120,2481,1194,5555,780,4365,2534
906,1316,2271,506,1333,2602,2319,1660,992,99
3665,3377,3187,22,3615,2474,144,87,5671,740
272,871,1137,5172,5856,5904,2267,4701,3024,2549
386,1705,842,2279,4000,3207,1492,781,3167,5487
270,1994,5358,4621,750,3201,897,271,3607,1629
832,1111,621,1888,2912,1108,1940,2607,877,1588
1671,562,5723,423,3375,1557,429,558,834,2897
2611,603,4498,4401,706,3714,1614,4400,1850,836
568,1973,449,5507,1459,772,176,1866,419,4177
958,5616,667,1940,2950,4046,1146,4068,5135,4312
989,1515,1243,908,358,609,916,1280,3675,3534
371,3426,1720,1986,2166,1768,5012,3777,3700,1756
1976,1395,4984,4812,4250,5567,3455,686,1233,2109
5226,190,5038,3846,505,5601,309,5072,5882,3918
668,5749,2792,2130,5544,5557,1586,5886,924,5765
240,234,304,343,3140,4,236,8,55,26
231,228,236,2707,227,304,213,217,157,224
1922,222,4748,231,230,6091,389,943,727,2867
223,390,226,221,230,389,520,727,2022,232
465,86,579,440,317,2926,316,311,1797,523
473,257,915,216,256,167,580,2067,16,4
1033,89,163,91,166,162,90,403,1061,2114
243,166,91,162,90,289,4114,1762,1061,1713
292,5897,1760,1183,2358,2351,1927,5012,3063,1336
291,5897,5405,1760,1183,5012,717,3592,809,1205
928,959,927,3585,1141,597,3659,2784,1227,3091
295,1847,262,314,313,5680,439,812,515,1407
294,314,313,5680,1847,3246,4822,1844,37,6105
2080,1560,299,385,753,4995,1275,226,1434,868
249,298,2207,808,157,236,219,345,648,473
297,249,157,808,215,217,2207,332,20,3368
296,753,868,2080,1560,2618,2118,385,1817,409
301,3466,302,1384,954,318,490,114,964,840
2753,300,3093,302,490,1384,964,3466,954,2065
954,964,1384,3466,3093,300,490,301,494,493
575,91,289,383,1766,265,341,1666,342,701
65,283,55,179,236,240,823,56,234,474
1439,191,848,3267,989,2675,3028,908,609,5152
522,523,2955,1825,311,5916,448,83,1246,316
308,541,1723,1202,1167,2949,1302,913,1804,1339
307,541,1723,1202,1167,1302,1265,2071,2949,1153
899,2634,1386,3918,3377,5601,5543,5405,3512,1263
3554,2634,899,309,1498,1386,2821,2351,4068,2436
316,2926,5301,611,314,313,4116,5302,426,1276
75,183,77,405,2959,74,406,2584,161,808
314,611,316,4116,5302,311,2926,37,581,663
313,611,316,4116,5302,311,2926,37,2018,1620
2352,179,345,361,3140,1724,740,3643,140,217
314,313,311,4116,2926,611,5302,5301,426,581
311,316,399,425,426,440,611,871,663,523
296,300,2080,1817,1434,5419,4823,996,1433,223
1088,602,707,912,600,2271,601,603,3728,500
322,321,1739,915,167,473,48,68,1012,264
322,320,155,1739,167,580,40,48,185,120
321,320,1739,2271,167,402,48,40,119,580
437,435,3626,5795,1848,2522,434,4752,436,1164
326,545,327,1236,811,441,340,356,4858,3898
350,477,478,1134,764,475,747,353,1718,3143
324,327,545,1236,811,2056,4858,2914,340,3898
545,1236,324,326,811,4165,771,2611,4149,2914
3315,366,142,1012,2751,332,107,538,2094,199
209,248,69,4640,4117,3886,424,3219,540,1097
1636,337,1610,1561,481,1352,1371,193,4386,1330
918,719,3086,773,171,3155,1364,4215,2381,1802
4925,460,219,3315,1149,911,726,5315,216,4284
336,335,560,543,152,561,743,1379,1015,714
984,609,4456,2184,1439,989,4901,5965,4196,908
333,336,560,543,561,1814,1015,352,1034,3537
333,335,578,152,561,1814,560,741,2072,352
2150,330,2110,3676,5898,1561,1352,1064,5528,3694
1811,258,2066,4163,3785,374,4512,4563,856,1483
516,206,344,260,1184,64,128,1235,184,63
545,324,441,326,327,2914,4858,3381,458,1921
265,342,511,2345,5876,701,97,289,96,91
